min,max,mean,std,median,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,year
0.0,0.08551025390625,1.755474276185332e-05,0.0010332566469473,0.0,934,Amazonas,13333,El Encanto,1992
0.0,0.0633544921875,6.877812031515775e-06,0.0006172756947227,0.0,934,Amazonas,13334,La Chorrera,1992
0.0,0.1297607421875,4.286007614618008e-05,0.0019767430075057,0.0,934,Amazonas,13335,La Pedrera,1992
0.0,10.202009201049805,0.0122986465736972,0.2251373278894593,0.0,934,Amazonas,13336,Leticia,1992
0.0,0.1044921875,1.2094003182870373e-05,0.0009247635561804,0.0,934,Amazonas,13337,Miriti Parana,1992
0.0,0.0,0.0,0.0,0.0,934,Amazonas,13338,Puerto Narino,1992
0.0,0.07916259765625,4.2653784187188336e-05,0.0016164872712198,0.0,934,Amazonas,13339,Puerto Santander,1992
0.0,0.07598876953125,3.025959898505853e-06,0.0004503145101034,0.0,934,Amazonas,13340,Tarapaca,1992
0.0,8.801339149475098,0.0707145214680103,0.3914624016373417,0.0,935,Antioquia,13341,Abejorral,1992
0.0,0.0,0.0,0.0,0.0,935,Antioquia,13342,Abriaqui,1992
0.0,0.447509765625,0.0159333948178584,0.0507057744034786,0.0,935,Antioquia,13343,Alejandria,1992
0.0,13.659598350524902,0.7741266676217071,1.3541036009152505,0.3101341724395752,935,Antioquia,13344,Amaga,1992
0.0,4.895926475524902,0.0230843883821333,0.2137340535795325,0.0,935,Antioquia,13345,Amalfi,1992
0.0,9.766276359558104,0.0919859805757178,0.459334857201596,0.0,935,Antioquia,13346,Andes,1992
0.05609130859375,3.7288410663604736,0.4219943882450638,0.5510783591347506,0.2175249308347702,935,Antioquia,13347,Angelopolis,1992
0.0,2.4497768878936768,0.0407249340112658,0.1718203524688461,0.0,935,Antioquia,13348,Angostura,1992
0.0,2.3527133464813232,0.0102418185497182,0.0928644502843063,0.0,935,Antioquia,13349,Anori,1992
0.0,8.736048698425293,0.067795829225385,0.4665315000178353,0.0,935,Antioquia,13350,Antioquia,1992
0.0,0.1189662367105484,0.0008242220504168,0.0083536142550368,0.0,935,Antioquia,13351,Anza,1992
0.0,20.125,0.2726133903570935,1.2968172243056433,0.0,935,Antioquia,13352,Apartado,1992
0.0,8.835286140441895,0.0295532166277556,0.3382644527920261,0.0,935,Antioquia,13353,Arboletes,1992
0.0,1.2126814126968384,0.0215337632666149,0.1013939205854506,0.0,935,Antioquia,13354,Argelia,1992
0.0,1.3532365560531616,0.0896133898905736,0.1883182901867097,0.0,935,Antioquia,13355,Armenia,1992
0.0,12.362723350524902,0.7360562783971629,1.2835419766725469,0.3597782850265503,935,Antioquia,13356,Barbosa,1992
0.0,47.10714340209961,5.54467224806882,9.879514456227865,0.9112344980239868,935,Antioquia,13357,Bello,1992
0.0,0.3853411078453064,0.0070792184473307,0.0373110647782383,0.0,935,Antioquia,13358,Belmira,1992
0.0,2.169921875,0.0681099061394282,0.1828030532423873,0.0,935,Antioquia,13359,Betania,1992
0.0,1.77734375,0.0393733353698884,0.1510019660847823,0.0,935,Antioquia,13360,Betulia,1992
0.0,10.136160850524902,0.1210818021548096,0.5901623415266569,0.0,935,Antioquia,13361,Bolivar,1992
0.0,0.0972377210855484,0.0001768531069837,0.0037047784575284,0.0,935,Antioquia,13362,Briceno,1992
0.0,0.2392578125,0.0016486202806193,0.0142081966086696,0.0,935,Antioquia,13363,Buritica,1992
0.0,1.7106584310531616,0.0086601153333928,0.073556702452089,0.0,935,Antioquia,13364,Caceres,1992
0.0,0.1275285929441452,0.002555989945857,0.0146401674263724,0.0,935,Antioquia,13365,Caicedo,1992
0.0,15.919642448425291,0.6857964636724198,1.668935738142349,0.2352120578289032,935,Antioquia,13366,Caldas,1992
0.0,1.9426618814468384,0.0289296463073006,0.1390687723254575,0.0,935,Antioquia,13367,Campamento,1992
0.0,2.212193012237549,0.0258417290860678,0.1518325494330043,0.0,935,Antioquia,13368,Canasgordas,1992
0.0,1.8832310438156128,0.0220960164807506,0.124785788340956,0.0,935,Antioquia,13369,Caracoli,1992
0.0,2.3667690753936768,0.1196218058268229,0.2790156826247397,0.0,935,Antioquia,13370,Caramanta,1992
0.0,7.3370537757873535,0.1760932103758717,0.60471676788399,0.0,935,Antioquia,13371,Carepa,1992
0.0,22.0625,0.4486532844528106,1.310280551471901,0.0,935,Antioquia,13372,Carmen De Viboral,1992
0.0,4.288504600524902,0.0565547255995851,0.3018241702124974,0.0,935,Antioquia,13373,Carolina,1992
0.0,25.8671875,0.0779261662409855,0.9286691335621386,0.0,935,Antioquia,13374,Caucasia,1992
0.0,16.48660659790039,0.0801205594673551,0.6875401955560685,0.0,935,Antioquia,13375,Chigorodo,1992
0.0,5.603236675262451,0.5060092502170139,0.8568559493047604,0.1919991672039032,935,Antioquia,13376,Cisneros,1992
0.0,3.7156808376312256,0.0988803542547627,0.2737658136345277,0.0,935,Antioquia,13377,Cocorna,1992
0.0,2.990513324737549,0.0503882630230629,0.2148186198298944,0.0,935,Antioquia,13378,Concepcion,1992
0.0,4.448660850524902,0.1406891350997121,0.365940257713228,0.0,935,Antioquia,13379,Concordia,1992
